iter	Passed	Remaining
240	352	1111
241	353	1108
242	354	1104
243	355	1101
244	356	1098
245	357	1095
246	358	1092
247	359	1089
248	360	1086
249	361	1083
250	362	1080
251	362	1077
252	363	1074
253	364	1071
254	365	1068
255	366	1066
256	367	1063
257	368	1060
258	369	1057
259	370	1055
260	371	1052
261	372	1049
262	373	1046
263	374	1043
264	375	1041
265	376	1038
266	377	1035
267	378	1033
268	379	1030
269	380	1027
270	381	1025
271	382	1022
272	382	1019
273	383	1017
274	384	1014
275	385	1011
276	386	1009
277	387	1006
278	388	1004
279	389	1001
280	390	999
281	391	996
282	392	994
283	393	991
284	394	989
285	395	986
286	396	984
287	397	981
288	397	979
289	398	976
290	399	974
291	400	971
292	401	969
293	402	966
294	403	964
295	404	962
296	405	959
297	406	957
298	407	955
299	408	952
300	409	950
301	410	948
302	411	945
303	412	943
304	413	941
305	414	939
306	415	936
307	416	934
308	416	932
309	417	930
310	419	928
311	419	926
312	420	923
313	421	921
314	422	919
315	423	917
316	424	915
317	425	913
318	426	910
319	427	908
320	428	906
321	429	904
322	430	902
323	431	900
324	432	898
325	433	896
326	434	894
327	435	892
328	436	890
329	437	887
330	438	885
331	439	883
332	440	881
333	441	879
334	442	877
335	442	875
336	444	873
337	445	871
338	445	869
339	446	867
340	447	865
341	448	863
342	449	861
343	450	859
344	451	857
345	452	855
346	453	853
347	454	851
348	455	849
349	456	847
350	457	845
351	458	843
352	458	841
353	459	839
354	460	837
355	461	835
356	462	833
357	463	831
358	464	828
359	465	827
360	466	825
361	467	823
362	468	821
363	469	819
364	470	817
365	471	815
366	471	814
367	472	812
368	473	810
369	474	808
370	475	806
371	476	804
372	477	802
373	478	800
374	479	798
375	480	796
376	481	794
377	482	793
378	482	791
379	483	789
380	484	787
381	485	785
382	486	783
383	487	781
384	488	780
385	489	778
386	490	776
387	491	774
388	492	772
389	493	771
390	493	769
391	494	767
392	496	766
393	497	764
394	498	762
395	499	761
396	500	759
397	501	758
398	502	756
399	503	755
400	504	753
401	505	751
402	506	750
403	507	748
404	508	746
405	509	745
406	510	743
407	511	741
408	512	740
409	513	738
410	514	737
411	515	735
412	516	734
413	517	732
414	518	731
415	519	729
416	520	727
417	521	726
418	522	724
419	523	722
420	524	721
421	525	719
422	526	717
423	527	716
424	528	714
425	529	713
426	530	711
427	531	709
428	532	708
429	533	706
430	534	705
431	534	703
432	535	701
433	536	700
434	537	698
435	538	697
436	539	695
437	540	694
438	541	692
439	543	691
440	544	689
441	545	688
442	546	686
443	547	685
444	548	683
445	549	682
446	550	680
447	551	678
448	552	677
449	553	676
450	554	674
451	555	672
452	556	671
453	556	669
454	557	668
455	558	666
456	559	665
457	560	663
458	561	661
459	562	660
460	563	658
461	564	657
462	565	655
463	566	654
464	567	652
465	568	650
466	568	649
467	569	647
468	570	646
469	571	644
470	572	643
471	573	641
472	574	639
473	575	638
474	576	636
475	577	635
476	578	633
477	578	632
478	579	630
479	580	629
480	581	627
481	582	625
482	583	624
483	584	622
